"id","english","nepali","domain","context","register","source","license","quality_tier","native_review_required","notes"
"1","About Us","हाम्रो बारेमा","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"2","Introduction","परिचय","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"3","Vision and Mission","परिदृश्य र परिलक्ष्य","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"4","Duties and Powers","काम, कर्तव्य र अधिकार","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"5","Organization Structure","सङ्गठन संरचना","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"6","Officials and Employees","पदाधिकारी र कर्मचारी","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"7","Former Chairpersons","पूर्व अध्यक्षहरू","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"8","Services","सेवाहरू","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"9","Law Drafting","कानून तर्जुमा","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"10","Research and Study","खोज तथा अध्ययन","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"11","Existing Laws","मौजुदा कानून","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"12","Constitution","संविधान","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"13","Acts","ऐन","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"14","Recent Acts","हालसालैका ऐन","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"15","By Volume","खण्ड अनुसार","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"16","Alphabetical List","वर्णानुक्रम अनुसारको सूची","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"17","Ordinances","अध्यादेश","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"18","Regulations","नियमावली","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
"19","Formation Orders","गठन आदेश","government_ui","navigation","neutral","recovered_site_labels_and_manual_normalization","provenance_uncertain_do_not_redistribute_as_scrape","gold_candidate","true","Law Commission access later blocked; verify against live bilingual UI."
